TRACKER,DATE,TIME,LAT,LON,ALT,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI,BATT
UNSWRT T1  ,2023-04-22,09:15:01.325,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:02.316,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:03.330,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:04.322,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:05.323,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:06.331,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:07.385,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:08.315,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:09.427,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:10.324,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:22.325,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:23.321,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:24.371,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:25.325,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
UNSWRT T1  ,2023-04-22,09:15:26.314,0.000000,0.000000,0,0,0,0,0,0x00,0,0,0,0,0,0.000
