Time,Altitude,Pressure,Velocity,Events
0.00,1.400416E-06,998.00,0, -
0.05,1.400416E-06,998.00,0, -
0.10,13.82104,997.50,13.14286, -
0.15,22.11602,997.20,21.04762, -
0.20,30.41303,996.90,28.95238, -
0.25,41.47997,996.50,39.47619, -
0.30,55.31786,996.00,52.66667, -
0.35,66.3929,995.60,63.23809, -
0.40,77.46985,995.20,73.80952, -
0.45,91.32237,994.70,87, -
0.50,110.7257,994.00,105.4762, -
0.55,127.365,993.40,121.3333, -
0.60,144.0141,992.80,137.1905, -
0.65,157.8938,992.30,150.4286, -
0.70,185.6701,991.30,176.9048, -
0.75,205.1273,990.60,195.4286, -
0.80,227.3771,989.80,216.619, -
0.85,246.8582,989.10,235.1905, -
0.90,280.2784,987.90,267, -
0.95,305.3669,987.00,290.9048, -
1.00,327.6824,986.20,312.1429, -
1.05,352.8059,985.30,336.0476, -
1.10,380.7419,984.30,362.6667, -
1.15,408.701,983.30,376.1429, -
1.20,442.2826,982.10,400.2381, -
1.25,473.0939,981.00,421.6667, -
1.30,509.5438,979.70,445.8571, -
1.35,543.2253,978.50,464.7619, -
1.40,582.563,977.10,491.6667, -
1.45,616.3155,975.90,513.2381, -
1.50,652.9214,974.60,534.9048, -
1.55,689.5652,973.30,551.3333, -
1.60,729.0714,971.90,573.0952, -
1.65,768.6254,970.50,594.9048, -
1.70,813.8851,968.90,624.7619, -
1.75,853.5383,967.50,636.0476, -
1.80,898.9118,965.90,660.7143, -
1.85,938.6648,964.50,677.381, -
1.90,989.8433,962.70,707.5714, -
1.95,1038.25,961.00,721.8571, -
2.00,1092.435,959.10,749.5714, -
2.05,1143.847,957.30,777.2857, -
2.10,1203.926,955.20,810.619, -
2.15,1258.377,953.30,835.8571, -
2.20,1324.408,951.00,872.1429, -
2.25,1384.81,948.90,897.6667, -
2.30,1451.09,946.60,931.4762, -
2.35,1514.609,944.40,957.2381, -
2.40,1592.729,941.70,999.5238, -
2.45,1671.031,939.00,1036.619, -
2.50,1775.716,935.40,1104.19, -
2.55,1874.887,932.00,1163.762, -
2.60,1989.004,928.10,1237.524, -
2.65,2088.805,924.70,1294.952, -
2.70,2209.552,920.60,1372.286, -
2.75,2321.853,916.80,1436.143, -
2.80,2467.218,911.90,1536.81, -
2.85,2604.261,907.30,1624.143, -
2.90,2747.864,902.50,1723.048, -
2.95,2907.145,897.20,1826, -
3.00,3018.793,893.50,1886.238, -
3.05,3094.444,891.00,1906.667, -
3.10,3194.565,887.70,1953.048, -
3.15,3276.708,885.00,1974.048, -
3.20,3362.107,882.20,2003.524, -
3.25,3432.421,879.90,2007.571, -
3.30,3518.223,877.10,2031.762, -
3.35,3591.942,874.70,2038.81, -
3.40,3678.155,871.90,2060.428, -
3.45,3755.322,869.40,2059.524, -
3.50,3838.864,866.70,2064.524, -
3.55,3916.406,864.20,2038.667, -
3.60,4000.355,861.50,2024.19, -
3.65,4068.916,859.30,1980.81, -
3.70,4150.125,856.70,1963.095, -
3.75,4209.598,854.80,1904.714, -
3.80,4275.454,852.70,1860.476, -
3.85,4325.72,851.10,1769.905, -
3.90,4379.209,849.40,1690.333, -
3.95,4426.478,847.90,1598.571, -
4.00,4473.815,846.40,1491.952, -
4.05,4518.059,845.00,1427.762, -
4.10,4568.694,843.40,1403.952, -
4.15,4606.722,842.20,1344.857, -
4.20,4647.968,840.90,1305.905, -
4.25,4689.268,839.60,1263.905, -
4.30,4740.167,838.00,1245.429, -
4.35,4787.956,836.50,1209.238, -
4.40,4845.395,834.70,1193.762, -
4.45,4912.536,832.60,1175.619, -
4.50,4989.434,830.20,1175.381, -
4.55,5053.654,828.20,1156.952, -
4.60,5127.663,825.90,1153.571, -
4.65,5188.927,824.00,1131.952, -
4.70,5260.007,821.80,1134.381, -
4.75,5324.759,819.80,1118.714, -
4.80,5399.381,817.50,1133.143, -
4.85,5461.156,815.60,1129.238, -
4.90,5529.566,813.50,1146.524, -
4.95,5585.052,811.80,1148.429, -
5.00,5653.723,809.70,1168.81, -
5.05,5693.028,808.50,1161.143, -
5.10,5699.584,808.30,1125.238, -
5.15,5738.945,807.10,1114.476, -
5.20,5811.228,804.90,1147.095, -
5.25,5890.267,802.50,1183.095, -
5.30,5976.107,799.90,1225.524, -
5.35,6019.114,798.60,1218, -
5.40,6072.121,797.00,1222.952, -
5.45,6145.147,794.80,1237.81, -
5.50,6248.325,791.70,1272.143, -
5.55,6345.145,788.80,1291.095, -
5.60,6448.958,785.70,1328.81, -
5.65,6532.922,783.20,1338.286, -
5.70,6627.219,780.40,1369.762, -
5.75,6711.645,777.90,1382.476, -
5.80,6813.246,774.90,1417.571, -
5.85,6904.96,772.20,1433.857, -
5.90,7003.759,769.30,1469.143, -
5.95,7075.489,767.20,1472.333, -
6.00,7143.953,765.20,1484.667, -
6.05,7198.829,763.60,1471.571, -
