Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,2.812165E-06,999.00,0,85.28, -,8.751458
0.05,5.523603,998.80,5.238095,85.28, -,8.751458
0.10,11.0481,998.60,10.47619,85.28, -,8.751458
0.15,24.86242,998.10,23.61905,85.28, -,8.751458
0.20,33.15336,997.80,31.52381,85.28, -,8.751458
0.25,41.44632,997.50,39.42857,85.28, -,8.751458
0.30,52.50787,997.10,49.95238,85.28, -,8.751458
0.35,66.33901,996.60,63.14286,85.28, -,8.751458
0.40,77.40696,996.20,73.66666,85.28, -,8.751458
0.45,91.24823,995.70,86.85714,85.28, -,8.751458
0.50,105.0951,995.20,100.0476,85.28, -,8.751458
0.55,124.4906,994.50,118.5238,85.1, -,8.770906
0.60,141.1231,993.90,134.381,85.1, -,8.770906
0.65,157.7654,993.30,150.2381,85.1, -,8.770906
0.70,171.6394,992.80,163.4286,85.1, -,8.770906
0.75,202.1814,991.70,192.5238,85.1, -,8.770906
0.80,221.6323,991.00,211.0476,85.1, -,8.770906
0.85,243.8748,990.20,232.2381,85.1, -,8.770906
0.90,263.3495,989.50,250.7619,85.1, -,8.770906
0.95,296.7606,988.30,282.5714,85.1, -,8.770906
1.00,321.8391,987.40,306.4762,85.1, -,8.770906
1.05,349.727,986.40,333.0476,85.1, -,8.770906
1.10,377.6378,985.40,354.381,85.1, -,8.770906
1.15,405.5715,984.40,375.7619,85.1, -,8.770906
1.20,433.5283,983.40,389.2381,85.1, -,8.770906
1.25,469.9078,982.10,416,85.1, -,8.770906
1.30,503.5209,980.90,440.0952,85.1, -,8.770906
1.35,539.9756,979.60,464.2857,85.1, -,8.770906
1.40,573.6582,978.40,483.1905,85.1, -,8.770906
1.45,612.9992,977.00,510.1429,85.1, -,8.770906
1.50,646.7561,975.80,529.0952,84.92, -,8.751458
1.55,683.3633,974.50,550.7619,84.92, -,8.751458
1.60,722.8318,973.10,569.8571,84.92, -,8.751458
1.65,762.3446,971.70,591.619,84.92, -,8.751458
1.70,801.9053,970.30,613.4286,84.92, -,8.751458
1.75,847.1725,968.70,643.3333,84.92, -,8.751458
1.80,886.8324,967.30,652,84.92, -,8.751458
1.85,932.2134,965.70,676.7143,84.92, -,8.751458
1.90,974.8141,964.20,696.0952,84.92, -,8.751458
1.95,1028.853,962.30,729.0476,84.92, -,8.751458
2.00,1077.276,960.60,743.3333,84.92, -,8.751458
2.05,1134.333,958.60,773.7619,84.92, -,8.751458
2.10,1185.767,956.80,796.1905,84.92, -,8.751458
2.15,1245.872,954.70,826.8571,84.92, -,8.751458
2.20,1306.085,952.60,857.5714,84.92, -,8.751458
2.25,1372.156,950.30,893.8571,84.92, -,8.751458
2.30,1432.593,948.20,916.7619,84.92, -,8.751458
2.35,1501.799,945.80,950.6667,84.92, -,8.751458
2.40,1568.255,943.50,979.2381,84.92, -,8.751458
2.45,1652.234,940.60,1027.143,84.92, -,8.751458
2.50,1739.33,937.60,1072.619,84.92, -,8.751458
2.55,1849.975,933.80,1145.857,84.92, -,8.751458
2.60,1952.208,930.30,1208.381,84.92, -,8.751458
2.65,2060.623,926.60,1274.048,84.92, -,8.751458
2.70,2169.387,922.90,1340,84.92, -,8.751458
2.75,2290.325,918.80,1417.524,84.92, -,8.751458
2.80,2411.699,914.70,1490,84.92, -,8.751458
2.85,2563.296,909.60,1596.619,84.92, -,8.751458
2.90,2694.636,905.20,1678.476,84.92, -,8.751458
2.95,2862.549,899.60,1797.81,84.92, -,8.751458
3.00,2989.038,895.40,1866.81,84.92, -,8.751458
3.05,3070.608,892.70,1898.381,84.92, -,8.751458
3.10,3158.443,889.80,1927.714,84.92, -,8.751458
3.15,3249.55,886.80,1965.476,84.92, -,8.751458
3.20,3325.663,884.30,1980.714,84.92, -,8.751458
3.25,3411.117,881.50,2004.762,84.92, -,8.751458
3.30,3487.601,879.00,2014.714,84.92, -,8.751458
3.35,3567.331,876.40,2033.095,84.92, -,8.751458
3.40,3644.176,873.90,2040.381,84.92, -,8.751458
3.45,3727.369,871.20,2056.333,84.92, -,8.751458
3.50,3807.68,868.60,2052.81,84.74, -,8.751458
3.55,3891.282,865.90,2049.476,84.74, -,8.751458
3.60,3968.882,863.40,2018,84.74, -,8.751458
3.65,4046.664,860.90,1994.714,84.74, -,8.751458
3.70,4118.387,858.60,1959.762,84.74, -,8.751458
3.75,4187.133,856.40,1921.667,84.74, -,8.751458
3.80,4246.623,854.50,1863.143,84.74, -,8.751458
3.85,4306.22,852.60,1804.333,84.74, -,8.751458
3.90,4356.489,851.00,1707.81,84.74, -,8.751458
3.95,4403.686,849.50,1627.667,84.74, -,8.751458
4.00,4450.951,848.00,1512.762,84.74, -,8.751458
4.05,4498.284,846.50,1437.381,84.74, -,8.751458
4.10,4542.522,845.10,1401.857,84.74, -,8.751458
4.15,4586.819,843.70,1360.381,84.74, -,8.751458
4.20,4628.006,842.40,1312.857,84.74, -,8.751458
4.25,4669.246,841.10,1279.667,84.74, -,8.751458
4.30,4713.713,839.70,1240.619,84.74, -,8.751458
4.35,4764.609,838.10,1216.238,84.74, -,8.751458
4.40,4815.582,836.50,1188.81,84.74, -,8.751458
4.45,4885.799,834.30,1182.476,84.74, -,8.751458
4.50,4956.167,832.10,1170.238,84.74, -,8.751458
4.55,5026.684,829.90,1160.905,84.74, -,8.751458
4.60,5094.139,827.80,1145.524,84.74, -,8.751458
4.65,5161.731,825.70,1136,84.74, -,8.751458
4.70,5226.235,823.70,1123.333,84.74, -,8.751458
4.75,5297.336,821.50,1122.762,84.74, -,8.751458
4.80,5362.107,819.50,1118.952,84.74, -,8.751458
4.85,5430.254,817.40,1127.19,84.74, -,8.751458
4.90,5492.035,815.50,1129.286,84.74, -,8.751458
4.95,5557.192,813.50,1143.476,84.74, -,8.751458
5.00,5615.944,811.70,1154.476,84.74, -,8.751458
5.05,5671.529,810.00,1162.429,84.74, -,8.751458
5.10,5678.075,809.80,1123.571,84.74, -,8.751458
5.15,5707.546,808.90,1109.476,84.74, -,8.751458
5.20,5773.134,806.90,1129.762,84.74, -,8.751458
5.25,5855.304,804.40,1168.762,84.74, -,8.751458
5.30,5937.681,801.90,1207.952,84.74, -,8.751458
5.35,5990.513,800.30,1215.952,84.74, -,8.751458
